01_native_gauge_matter_representation	06_matter_flavor_qcd
02_addressed_quantum_link_refinement	04_gauge_yang_mills
03_gauge_covariant_parent_completion	04_gauge_yang_mills
04_addressed_parent_projection	01_core_foundations
05_central_vacuum_selector	01_core_foundations
06_native_manybody_hnet	02_h504_hnet
07_native_locality_refinement	04_gauge_yang_mills
08_relational_omega_reconstruction	01_core_foundations
09_native_flavor_yukawa_algebra	06_matter_flavor_qcd
10_regge_volume_functional	05_gravity_cosmology
11_color_singlet_atomic_spectral_chain	06_matter_flavor_qcd
12_addressed_maxwell_bridge	04_gauge_yang_mills
13_dark_sector_schur_kernel	05_gravity_cosmology
14_native_one_loop_rg	06_matter_flavor_qcd
15_native_scalar_family_bundle	06_matter_flavor_qcd
16_parent_regge_projection	05_gravity_cosmology
17_frozen_cosmology_holdout	05_gravity_cosmology
18_regulator_scaled_mass_gap_criterion	04_gauge_yang_mills
